game_id,drive_number,field_pos,time_remaining,is_half_one,is_half_two,UTM,score_differential,pos_team TOL,def_time TOL,result,yds_gained / 10,actual_yds_gained,field_goal_attempt,field_goal_distance
2010010304 - 43223,21,73,434,0,1,0,-7,3,2,fourth_down,5,59,1,32
2010010304 - 43234,22,85,274,0,1,0,4,2,2,touchdown,NA,NA,0,NA
2010010304 - 43244,23,24,169,0,1,0,11,2,0,fourth_down,0,8,1,34
2010010304 - 43251,24,38,59,0,1,1,-14,0,1,end_of_half,NA,NA,0,NA
2010010302 - 43259,1,54,1795,1,0,0,0,3,3,fourth_down,4,44,1,27
2010010302 - 43269,2,75,1555,1,0,0,-3,3,3,fourth_down,2,28,0,NA
2010010302 - 43276,3,87,1353,1,0,0,3,3,3,fourth_down,0,-1,0,NA
2010010302 - 43281,4,41,1220,1,0,0,-3,3,3,fourth_down,1,12,1,47
2010010302 - 43289,5,62,1034,1,0,0,0,3,3,fourth_down,0,6,0,NA
2010010302 - 43293,6,76,915,1,0,0,0,3,3,fourth_down,0,6,0,NA
2010010302 - 43303,7,60,649,1,0,0,0,3,3,turnover,NA,NA,0,NA
2010010302 - 43309,8,83,552,1,0,0,0,3,3,fourth_down,0,9,0,NA
2010010302 - 43313,9,57,433,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2010010302 - 43322,10,67,225,1,0,0,-7,3,3,turnover,NA,NA,0,NA
2010010302 - 43323,11,34,215,1,0,0,7,3,3,fourth_down,3,31,1,21
2010010302 - 43333,12,80,104,1,0,1,-10,2,3,end_of_half,NA,NA,0,NA
2010010302 - 43344,13,60,1800,0,1,0,-10,3,3,fourth_down,3,34,1,-43
2010010302 - 43344,13,60,1800,0,1,0,-10,3,3,touchdown,NA,NA,0,NA
2010010302 - 43369,14,69,1138,0,1,0,-17,3,2,fourth_down,0,4,0,NA
2010010302 - 43373,15,66,1079,0,1,0,17,2,3,fourth_down,0,6,0,NA
2010010302 - 43383,16,79,858,0,1,0,-17,2,2,touchdown,NA,NA,0,NA
2010010302 - 43394,17,75,625,0,1,0,10,2,2,fourth_down,6,60,1,33
2010010302 - 43413,18,95,132,0,1,0,-13,0,0,touchdown,NA,NA,0,NA
2010010302 - 43413,18,95,132,0,1,0,-13,0,0,end_of_half,NA,NA,0,NA
2010010312 - 43432,1,80,1800,1,0,0,0,3,3,fourth_down,0,9,0,NA
2010010312 - 43437,2,86,1690,1,0,0,0,2,3,touchdown,NA,NA,0,NA
2010010312 - 43443,3,84,1571,1,0,0,-7,3,2,fourth_down,3,32,0,NA
2010010312 - 43452,4,99,1372,1,0,0,7,2,3,fourth_down,0,6,0,NA
2010010312 - 43456,5,53,1288,1,0,0,-7,3,2,fourth_down,0,4,0,NA
2010010312 - 43460,6,89,1233,1,0,0,7,2,3,turnover,NA,NA,0,NA
2010010312 - 43465,7,95,1114,1,0,0,-7,3,2,touchdown,NA,NA,0,NA
2010010312 - 43480,8,70,840,1,0,0,0,2,3,fourth_down,1,17,0,NA
2010010312 - 43488,9,86,694,1,0,0,0,3,2,fourth_down,3,35,0,NA
2010010312 - 43493,10,80,606,1,0,0,0,2,3,fourth_down,7,78,1,20
2010010312 - 43505,11,81,297,1,0,0,-3,3,2,fourth_down,7,74,1,25
2010010312 - 43519,12,80,27,1,0,1,0,2,2,end_of_half,NA,NA,0,NA
2010010312 - 43522,13,79,1795,0,1,0,0,3,3,touchdown,NA,NA,0,NA
2010010312 - 43535,14,73,1530,0,1,0,-7,3,3,touchdown,NA,NA,0,NA
2010010312 - 43541,15,80,1405,0,1,0,0,3,3,fourth_down,6,62,1,36
2010010312 - 43548,16,76,1231,0,1,0,-3,3,3,defensive_touchdown,NA,NA,0,NA
2010010312 - 43550,17,73,1209,0,1,0,-9,3,3,fourth_down,2,29,0,NA
2010010312 - 43556,18,84,1086,0,1,0,9,3,3,turnover,NA,NA,0,NA
2010010312 - 43561,19,3,964,0,1,0,-9,3,3,touchdown,NA,NA,0,NA
2010010312 - 43566,20,80,912,0,1,0,2,3,3,fourth_down,5,51,1,47
2010010312 - 43575,21,85,771,0,1,0,-5,3,3,defensive_touchdown,NA,NA,0,NA
2010010312 - 43582,22,80,584,0,1,0,-11,3,3,fourth_down,2,20,0,NA
2010010312 - 43591,23,78,479,0,1,0,11,3,3,touchdown,NA,NA,0,NA
2010010312 - 43597,24,77,378,0,1,0,-18,3,2,turnover,NA,NA,0,NA
2010010312 - 43608,25,80,163,0,1,0,18,2,3,fourth_down,0,9,0,NA
2010010312 - 43615,26,93,127,0,1,0,-18,0,2,end_of_half,NA,NA,0,NA
2010010311 - 43624,1,69,1796,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2010010311 - 43642,2,75,1419,1,0,0,-7,3,2,fourth_down,2,20,0,NA
2010010311 - 43648,3,86,1260,1,0,0,7,2,3,touchdown,NA,NA,0,NA
2010010311 - 43656,4,87,1055,1,0,0,-14,3,2,fourth_down,1,17,0,NA
2010010311 - 43661,5,73,943,1,0,0,14,2,3,fourth_down,1,18,0,NA
2010010311 - 43668,6,98,802,1,0,0,-14,3,2,safety,NA,NA,0,NA
2010010311 - 43672,7,61,747,1,0,0,16,2,3,fourth_down,5,53,1,26
2010010311 - 43685,8,80,393,1,0,0,-19,3,2,defensive_touchdown,NA,NA,0,NA
2010010311 - 43690,9,80,262,1,0,0,-25,3,2,turnover,NA,NA,0,NA
2010010311 - 43699,10,84,81,1,0,1,25,1,3,end_of_half,NA,NA,0,NA
2010010311 - 43703,11,80,1795,0,1,0,-25,3,3,fourth_down,1,16,0,NA
